play,player,algorithm,position,time (s),score_white,score_black
1,White,mcts,"(0,0)",0.4238,0,1
2,Black,mcts,"(0,1)",0.4424,0,0
3,White,mcts,"(0,2)",0.4667,0,2
4,Black,mcts,"(0,3)",0.4827,0,0
5,White,mcts,"(0,4)",0.4604,0,2
6,Black,mcts,"(1,0)",0.4266,0,2
7,White,mcts,"(1,2)",0.4531,0,2
8,Black,mcts,"(1,1)",0.4524,0,2
9,White,mcts,"(1,3)",0.4109,0,0
10,Black,mcts,"(1,4)",0.4523,1,0
11,White,mcts,"(1,5)",0.4456,0,1
12,Black,mcts,"(2,0)",0.3807,0,1
13,White,mcts,"(2,1)",0.3934,0,1
14,Black,mcts,"(2,2)",0.42,0,0
15,White,mcts,"(2,4)",0.3426,0,1
16,Black,mcts,"(2,5)",0.4075,2,0
17,White,mcts,"(2,3)",0.3699,3,0
18,Black,mcts,"(3,0)",0.3398,3,0
19,White,mcts,"(2,6)",0.3681,1,0
20,Black,mcts,"(3,1)",0.4536,0,0
21,White,mcts,"(3,2)",0.3426,0,0
22,Black,mcts,"(3,4)",0.3362,0,0
23,White,mcts,"(3,3)",0.3225,0,0
24,Black,mcts,"(3,5)",0.3145,0,0
25,White,mcts,"(3,6)",0.3503,0,1
26,Black,mcts,"(4,0)",0.3317,0,1
27,White,mcts,"(3,7)",0.3446,0,2
28,Black,mcts,"(4,1)",0.3033,0,2
29,White,mcts,"(4,2)",0.3015,0,2
30,Black,mcts,"(4,3)",0.2514,0,2
31,White,mcts,"(4,5)",0.2577,0,3
32,Black,mcts,"(4,6)",0.2244,2,0
33,White,mcts,"(4,4)",0.2564,2,0
34,Black,mcts,"(4,8)",0.2643,1,0
35,White,mcts,"(4,7)",0.2684,3,0
36,Black,mcts,"(5,1)",0.2857,3,0
37,White,mcts,"(5,2)",0.2232,3,0
38,Black,mcts,"(5,0)",0.2555,3,0
39,White,mcts,"(5,3)",0.2216,7,0
40,Black,mcts,"(5,5)",0.1954,8,0
41,White,mcts,"(5,4)",0.1886,8,0
42,Black,mcts,"(5,7)",0.2025,9,0
43,White,mcts,"(5,6)",0.1659,9,0
44,Black,mcts,"(6,1)",0.1797,9,0
45,White,mcts,"(6,2)",0.1818,9,0
46,Black,mcts,"(6,3)",0.1771,10,0
47,White,mcts,"(6,0)",0.1529,9,0
48,Black,mcts,"(6,5)",0.1553,10,0
49,White,mcts,"(6,4)",0.1443,10,0
50,Black,mcts,"(7,0)",0.1196,10,0
51,White,mcts,"(7,1)",0.1501,10,0
52,Black,mcts,"(7,2)",0.1284,11,0
53,White,mcts,"(7,3)",0.1275,11,0
54,Black,mcts,"(7,4)",0.1344,12,0
55,White,mcts,"(7,5)",0.1218,7,0
56,Black,mcts,"(8,0)",0.1134,7,0
57,White,mcts,"(8,1)",0.1031,7,0
58,Black,mcts,"(8,2)",0.0918,8,0
59,White,mcts,"(8,3)",0.0887,8,0
60,Black,mcts,"(8,4)",0.1026,8,0
61,White,mcts,"(6,6)",0.0949,14,0
,,,,,,
Board Size,,5,,,,
Total,Winner,White,,142.63,,
