play,player,algorithm,position,time (s),score_white,score_black
1,White,mcts,"(0,0)",2.4038,0,1
2,Black,Human,"(2, 1)",0.0,0,0
3,White,mcts,"(0,1)",2.4112,0,1
4,Black,mcts,"(0,2)",2.3572,1,0
5,White,mcts,"(0,3)",2.3699,1,0
6,Black,mcts,"(0,4)",2.3625,1,0
7,White,mcts,"(1,0)",2.2335,1,0
8,Black,mcts,"(1,1)",2.3043,0,2
9,White,mcts,"(1,2)",2.2273,0,2
10,Black,mcts,"(1,3)",2.1199,0,1
11,White,mcts,"(1,4)",2.1273,0,4
12,Black,mcts,"(1,5)",2.1359,0,2
13,White,mcts,"(2,0)",2.1324,0,3
14,Black,mcts,"(2,2)",2.0346,0,5
15,White,mcts,"(2,3)",1.9657,0,5
16,Black,mcts,"(2,4)",1.9932,0,4
17,White,mcts,"(2,5)",1.9458,0,7
18,Black,mcts,"(2,6)",1.8775,0,5
19,White,mcts,"(3,0)",1.835,0,6
20,Black,mcts,"(3,1)",1.9648,0,6
21,White,mcts,"(3,2)",1.8038,0,6
22,Black,mcts,"(3,3)",1.7921,0,6
23,White,mcts,"(3,4)",1.7286,0,6
24,Black,mcts,"(3,5)",1.693,0,5
25,White,mcts,"(3,6)",1.6627,0,8
26,Black,mcts,"(3,7)",1.6081,0,6
27,White,mcts,"(4,0)",1.6549,0,7
28,Black,mcts,"(4,1)",1.6546,0,7
29,White,mcts,"(4,2)",1.4351,0,7
30,Black,mcts,"(4,3)",1.5145,0,7
31,White,mcts,"(4,4)",1.4264,0,7
32,Black,mcts,"(4,5)",1.3832,0,7
33,White,mcts,"(4,6)",1.358,0,7
34,Black,mcts,"(4,7)",1.33,0,6
35,White,mcts,"(5,0)",1.2923,0,7
36,Black,mcts,"(4,8)",1.2909,0,6
37,White,mcts,"(5,1)",1.2789,1,0
38,Black,mcts,"(5,2)",1.1677,1,0
39,White,mcts,"(5,3)",1.1473,1,0
40,Black,mcts,"(5,4)",1.1061,1,0
41,White,mcts,"(5,5)",1.0406,1,0
42,Black,mcts,"(5,6)",1.021,2,0
43,White,mcts,"(5,7)",0.9958,0,3
44,Black,mcts,"(6,0)",0.9369,0,2
45,White,mcts,"(6,1)",0.9418,0,2
46,Black,mcts,"(6,2)",0.9371,0,2
47,White,mcts,"(6,3)",0.8921,0,2
48,Black,mcts,"(6,4)",0.8989,0,2
49,White,mcts,"(6,5)",0.7824,0,2
50,Black,mcts,"(6,6)",0.7449,0,2
51,White,mcts,"(7,0)",0.7835,0,2
52,Black,mcts,"(7,1)",0.7121,0,2
53,White,mcts,"(7,2)",0.6064,0,2
54,Black,mcts,"(7,3)",0.653,0,2
55,White,mcts,"(7,4)",0.6771,0,2
56,Black,mcts,"(8,0)",0.5392,0,2
57,White,mcts,"(7,5)",0.4791,0,2
58,Black,mcts,"(8,2)",0.4784,0,2
59,White,mcts,"(8,3)",0.4377,0,2
60,Black,mcts,"(8,4)",0.4937,0,1
61,White,mcts,"(8,1)",0.5042,0,1
,,,,,,
Board Size,,5,,,,
Total,Winner,Black,,209.35,,
