play,player,algorithm,position,time (s),score_white,score_black
1,White,mcts,"(0,0)",2.2708,0,1
2,Black,mcts,"(0,1)",2.3434,0,0
3,White,mcts,"(0,2)",2.5075,0,2
4,Black,mcts,"(0,3)",2.2685,0,0
5,White,mcts,"(0,4)",2.2589,0,2
6,Black,mcts,"(1,0)",2.2533,0,2
7,White,mcts,"(1,1)",2.1827,0,2
8,Black,mcts,"(1,2)",2.2457,0,2
9,White,mcts,"(1,3)",2.181,0,3
10,Black,mcts,"(1,4)",2.0422,0,0
11,White,mcts,"(2,0)",2.1853,0,0
12,Black,mcts,"(2,1)",2.1476,0,0
13,White,mcts,"(1,5)",2.1616,0,2
14,Black,mcts,"(2,2)",2.0079,0,2
15,White,mcts,"(2,3)",1.9176,0,2
16,Black,mcts,"(2,4)",1.9515,0,2
17,White,mcts,"(2,5)",1.8275,0,3
18,Black,mcts,"(2,6)",1.8354,0,0
19,White,mcts,"(3,0)",1.863,0,0
20,Black,mcts,"(3,1)",1.7524,0,0
21,White,mcts,"(3,2)",1.6839,0,0
22,Black,mcts,"(3,3)",1.6688,0,0
23,White,mcts,"(3,4)",1.594,0,0
24,Black,mcts,"(3,5)",1.6464,1,0
25,White,mcts,"(3,6)",1.5643,0,2
26,Black,mcts,"(3,7)",1.506,0,0
27,White,mcts,"(4,0)",1.5577,0,0
28,Black,mcts,"(4,1)",1.5382,0,0
29,White,mcts,"(4,2)",1.4679,0,0
30,Black,mcts,"(4,3)",1.4592,0,0
31,White,mcts,"(4,4)",1.4108,0,0
32,Black,mcts,"(4,5)",1.3837,0,0
33,White,mcts,"(4,6)",1.3212,0,0
34,Black,mcts,"(4,7)",1.2617,1,0
35,White,mcts,"(4,8)",1.2227,0,2
36,Black,mcts,"(5,0)",1.2313,0,2
37,White,mcts,"(5,1)",1.1782,0,2
38,Black,mcts,"(5,2)",1.1922,0,2
39,White,mcts,"(5,3)",1.1017,0,2
40,Black,mcts,"(5,4)",1.1041,0,2
41,White,mcts,"(5,5)",0.9404,0,2
42,Black,mcts,"(5,6)",0.928,0,2
43,White,mcts,"(5,7)",0.8493,0,3
44,Black,mcts,"(6,0)",0.9064,0,3
45,White,mcts,"(6,1)",0.8689,0,3
46,Black,mcts,"(6,2)",0.788,0,3
47,White,mcts,"(6,3)",0.8019,0,3
48,Black,mcts,"(6,4)",0.7265,0,3
49,White,mcts,"(6,5)",0.7253,0,3
50,Black,mcts,"(6,6)",0.6513,0,3
51,White,mcts,"(7,0)",0.6855,0,3
52,Black,mcts,"(7,1)",0.5884,0,3
53,White,mcts,"(7,2)",0.5645,0,3
54,Black,mcts,"(7,3)",0.5478,0,3
55,White,mcts,"(7,4)",0.5583,0,3
56,Black,mcts,"(7,5)",0.4443,0,3
57,White,mcts,"(8,0)",0.377,0,3
58,Black,mcts,"(8,1)",0.3462,0,3
59,White,mcts,"(8,2)",0.335,0,3
60,Black,mcts,"(8,3)",0.3188,0,3
61,White,mcts,"(8,4)",0.3478,0,3
,,,,,,
Board Size,,5,,,,
Total,Winner,Black,,209.25,,
