play,player,algorithm,position,time (s),score_white,score_black
1,White,minimax,"(0,0)",0.0118,0,1
2,Black,minimax,"(0,2)",0.0253,0,0
3,White,minimax,"(0,1)",0.0195,0,1
4,Black,minimax,"(1,4)",0.0456,1,0
5,White,minimax,"(0,3)",0.023,1,0
6,Black,minimax,"(1,0)",0.0445,1,0
7,White,minimax,"(1,1)",0.0566,1,0
8,Black,minimax,"(1,2)",0.0838,1,0
9,White,minimax,"(1,3)",0.0488,2,0
10,Black,minimax,"(2,5)",0.1382,1,0
11,White,minimax,"(0,4)",0.0711,1,0
12,Black,minimax,"(2,0)",0.075,1,0
13,White,minimax,"(2,1)",0.0742,1,0
14,Black,minimax,"(2,2)",0.0827,1,0
15,White,minimax,"(1,5)",0.0546,3,0
16,Black,minimax,"(3,3)",0.2454,1,0
17,White,minimax,"(2,3)",0.0572,4,0
18,Black,minimax,"(3,6)",0.2499,1,0
19,White,minimax,"(2,6)",0.0843,4,0
20,Black,minimax,"(4,0)",0.3107,1,0
21,White,minimax,"(3,0)",0.1077,5,0
22,Black,minimax,"(4,4)",0.3914,1,0
23,White,minimax,"(3,4)",0.1484,6,0
24,Black,minimax,"(4,7)",0.5533,1,0
25,White,minimax,"(3,7)",0.1585,6,0
26,Black,minimax,"(5,1)",0.6358,1,0
27,White,minimax,"(4,1)",0.2198,6,0
28,Black,minimax,"(5,5)",0.9011,1,0
29,White,minimax,"(4,5)",0.407,6,0
30,Black,minimax,"(6,2)",0.9441,1,0
31,White,minimax,"(5,2)",0.3607,6,0
32,Black,minimax,"(6,6)",0.9712,1,0
33,White,minimax,"(5,6)",0.4662,6,0
34,Black,minimax,"(7,0)",0.95,1,0
35,White,minimax,"(6,0)",0.6507,7,0
36,Black,minimax,"(7,3)",1.2054,1,0
37,White,minimax,"(6,3)",0.8939,7,0
38,Black,minimax,"(8,1)",1.3439,1,0
39,White,minimax,"(7,1)",1.0892,6,0
40,Black,minimax,"(7,4)",1.1931,7,0
41,White,minimax,"(3,2)",0.199,11,0
42,Black,minimax,"(5,4)",0.5209,14,0
43,White,minimax,"(2,4)",0.1581,16,0
44,Black,minimax,"(4,2)",0.4862,17,0
45,White,minimax,"(3,5)",0.1722,19,0
46,Black,minimax,"(4,8)",0.3339,20,0
47,White,minimax,"(6,1)",0.1766,22,0
48,Black,minimax,"(5,0)",0.2989,23,0
49,White,minimax,"(4,6)",0.0845,24,0
50,Black,minimax,"(5,7)",0.3936,25,0
51,White,minimax,"(3,1)",0.0532,25,0
52,Black,minimax,"(8,3)",0.2448,26,0
53,White,minimax,"(6,5)",0.0622,25,0
54,Black,minimax,"(8,4)",0.135,26,0
55,White,minimax,"(5,3)",0.0459,27,0
56,Black,minimax,"(8,2)",0.0782,28,0
57,White,minimax,"(4,3)",0.017,28,0
58,Black,minimax,"(6,4)",0.019,29,0
59,White,minimax,"(7,2)",0.0121,29,0
60,Black,minimax,"(7,5)",0.0055,30,0
61,White,minimax,"(8,0)",0.0024,30,0
,,,,,,
Board Size,,5,,,,
Total,Winner,White,,145.02,,
