play,player,algorithm,position,time (s),score_white,score_black
1,White,minimax,"(0,0)",1.0819,0,1
2,Black,minimax,"(0,1)",1.7743,0,0
3,White,minimax,"(1,0)",1.4859,0,1
4,Black,minimax,"(0,2)",2.1094,0,0
5,White,minimax,"(1,1)",1.7617,0,1
6,Black,minimax,"(0,3)",2.9552,0,0
7,White,minimax,"(1,2)",1.7809,0,1
8,Black,minimax,"(0,4)",2.5796,0,0
9,White,minimax,"(1,3)",1.2107,0,1
10,Black,minimax,"(1,4)",3.6836,0,0
11,White,minimax,"(2,0)",2.0669,0,1
12,Black,minimax,"(1,5)",3.7231,0,0
13,White,minimax,"(2,1)",1.7092,0,1
14,Black,minimax,"(2,2)",3.4708,7,0
15,White,minimax,"(2,3)",1.2937,7,0
16,Black,minimax,"(2,4)",2.942,8,0
17,White,minimax,"(2,5)",2.3603,0,0
18,Black,minimax,"(2,6)",6.4303,2,0
19,White,minimax,"(3,0)",4.1317,2,0
20,Black,minimax,"(3,1)",5.6276,3,0
21,White,minimax,"(3,2)",3.1584,3,0
22,Black,minimax,"(3,3)",4.337,3,0
23,White,minimax,"(3,4)",3.6709,3,0
24,Black,minimax,"(3,5)",3.651,4,0
25,White,minimax,"(3,6)",3.3275,1,0
26,Black,minimax,"(3,7)",7.8575,3,0
27,White,minimax,"(4,0)",6.8791,3,0
28,Black,minimax,"(4,1)",7.132,4,0
29,White,minimax,"(4,2)",1.9705,4,0
30,Black,minimax,"(4,3)",5.3102,4,0
31,White,minimax,"(4,4)",5.9889,4,0
32,Black,minimax,"(4,5)",3.9603,4,0
33,White,minimax,"(4,6)",5.7188,4,0
34,Black,minimax,"(4,7)",7.1256,5,0
35,White,minimax,"(4,8)",7.8287,2,0
36,Black,minimax,"(5,0)",6.5177,3,0
37,White,minimax,"(5,1)",4.7064,3,0
38,Black,minimax,"(5,2)",5.8974,3,0
39,White,minimax,"(5,3)",6.1126,3,0
40,Black,minimax,"(5,4)",5.061,3,0
41,White,minimax,"(5,5)",5.939,3,0
42,Black,minimax,"(5,6)",4.3434,3,0
43,White,minimax,"(5,7)",5.3443,2,0
44,Black,minimax,"(6,0)",3.695,3,0
45,White,minimax,"(6,1)",0.6792,3,0
46,Black,minimax,"(6,2)",2.8842,3,0
47,White,minimax,"(6,3)",0.8423,3,0
48,Black,minimax,"(6,4)",2.1975,3,0
49,White,minimax,"(6,5)",0.548,3,0
50,Black,minimax,"(6,6)",1.5982,3,0
51,White,minimax,"(7,0)",0.4602,3,0
52,Black,minimax,"(7,2)",1.1438,3,0
53,White,minimax,"(7,3)",0.2942,3,0
54,Black,minimax,"(8,4)",0.7811,1,0
55,White,minimax,"(7,4)",0.1372,9,0
56,Black,minimax,"(8,3)",0.2115,10,0
57,White,minimax,"(7,1)",0.0883,10,0
58,Black,minimax,"(8,0)",0.0289,11,0
59,White,minimax,"(8,2)",0.0178,11,0
60,Black,minimax,"(7,5)",0.0046,9,0
61,White,minimax,"(8,1)",0.0037,21,0
,,,,,,
Board Size,,5,,,,
Total,Winner,White,,317.57,,
