play,player,algorithm,position,time (s),score_white,score_black
1,White,minimax,"(2,2)",0.0,0,1
2,Black,minimax,"(3,7)",0.0,0,0
3,White,minimax,"(7,5)",0.0,0,0
4,Black,minimax,"(5,6)",0.0,0,0
5,White,minimax,"(3,0)",0.0,0,0
6,Black,minimax,"(6,2)",0.0,0,0
7,White,minimax,"(0,2)",0.0,0,0
8,Black,minimax,"(6,5)",0.0,0,0
9,White,minimax,"(2,0)",0.0,0,0
10,Black,minimax,"(2,5)",0.0,0,0
11,White,minimax,"(5,0)",0.0,0,0
12,Black,minimax,"(4,8)",0.0,0,0
13,White,minimax,"(4,5)",0.0003,0,0
14,Black,minimax,"(6,0)",0.0,0,0
15,White,minimax,"(1,3)",0.0,0,0
16,Black,minimax,"(0,1)",0.0,0,0
17,White,minimax,"(4,4)",0.0,0,0
18,Black,minimax,"(4,3)",0.0,0,0
19,White,minimax,"(7,1)",0.0,0,0
20,Black,minimax,"(6,1)",0.0,0,0
21,White,minimax,"(5,7)",0.0,0,0
22,Black,minimax,"(7,3)",0.0,0,0
23,White,minimax,"(7,0)",0.0,0,0
24,Black,minimax,"(5,2)",0.0,0,0
25,White,minimax,"(3,1)",0.0,0,0
26,Black,minimax,"(7,2)",0.0,0,0
27,White,minimax,"(8,0)",0.0,0,0
28,Black,minimax,"(3,2)",0.0,0,0
29,White,minimax,"(6,3)",0.0,0,0
30,Black,minimax,"(1,4)",0.0,0,0
31,White,minimax,"(3,4)",0.0,0,0
32,Black,minimax,"(8,3)",0.0,0,0
33,White,minimax,"(4,7)",0.0,0,0
34,Black,minimax,"(4,1)",0.0,0,0
35,White,minimax,"(1,0)",0.0,0,0
36,Black,minimax,"(4,6)",0.0,0,3
37,White,minimax,"(8,2)",0.0003,0,4
38,Black,minimax,"(1,1)",0.0,0,4
39,White,minimax,"(5,3)",0.0,0,3
40,Black,minimax,"(0,3)",0.0,0,0
41,White,minimax,"(0,0)",0.0,0,0
42,Black,minimax,"(6,4)",0.0,0,0
43,White,minimax,"(3,5)",0.0,0,0
44,Black,minimax,"(5,5)",0.0,0,0
45,White,minimax,"(7,4)",0.001,0,1
46,Black,minimax,"(2,4)",0.0,0,5
47,White,minimax,"(8,4)",0.0,0,6
48,Black,minimax,"(1,2)",0.0,0,9
49,White,minimax,"(2,6)",0.0,0,10
50,Black,minimax,"(6,6)",0.0,0,10
51,White,minimax,"(4,0)",0.0,0,9
52,Black,minimax,"(8,1)",0.0,0,9
53,White,minimax,"(2,3)",0.0,0,9
54,Black,minimax,"(4,2)",0.0,0,11
55,White,minimax,"(5,4)",0.0,0,12
56,Black,minimax,"(2,1)",0.0,0,12
57,White,minimax,"(3,6)",0.0,0,13
58,Black,minimax,"(0,4)",0.0,0,26
59,White,minimax,"(3,3)",0.0,0,7
60,Black,minimax,"(1,5)",0.0,0,7
61,White,minimax,"(5,1)",0.0,0,7
,,,,,,
Board Size,,5,,,,
Total,Winner,Black,,126.18,,

